,Private,Apps,Accept,Enroll,Room.Board,Books,Personal,S.F.Ratio,Grad.Rate
Abilene Christian University,Yes,1660,1232,721,3300,450,2200,18.1,60
Adelphi University,Yes,2186,1924,512,6450,750,1500,12.2,56
Adrian College,Yes,1428,1097,336,3750,400,1165,12.9,54
Agnes Scott College,Yes,417,349,137,5450,450,875,7.7,59
Alaska Pacific University,Yes,193,146,55,4120,800,1500,11.9,15
Albertson College,Yes,587,479,158,3335,500,675,9.4,55
Albertus Magnus College,Yes,353,340,103,5720,500,1500,11.5,63
Albion College,Yes,1899,1720,489,4826,450,850,13.7,73
Albright College,Yes,1038,839,227,4400,300,500,11.3,80
Alderson-Broaddus College,Yes,582,498,172,3380,660,1800,11.5,52
Alfred University,Yes,1732,1425,472,5406,500,600,11.3,73
Allegheny College,Yes,2652,1900,484,4440,400,600,9.9,76
Allentown Coll. of St. Francis de Sales,Yes,1179,780,290,4785,600,1000,13.3,74
Alma College,Yes,1267,1080,385,4552,400,400,15.3,68
Alverno College,Yes,494,313,157,3640,650,2449,11.1,55
American International College,Yes,1420,1093,220,4780,450,1400,14.7,69
Amherst College,Yes,4302,992,418,5300,660,1598,8.4,100
Anderson University,Yes,1216,908,423,3520,550,1100,12.1,59
Andrews University,Yes,1130,704,322,3090,900,1320,11.5,46
Angelo State University,No,3540,2001,1016,3592,500,2000,23.1,34
Antioch University,Yes,713,661,252,3336,400,1100,11.3,48
Appalachian State University,No,7313,4664,1910,2540,96,2000,18.3,70
Aquinas College,Yes,619,516,219,4124,350,1615,12.7,65
Arizona State University Main campus,No,12809,10308,3761,4850,700,2100,18.9,48
Arkansas College (Lyon College),Yes,708,334,166,3922,500,800,12.6,54
Arkansas Tech University,No,1734,1729,951,2650,450,1000,19.6,48
Assumption College,Yes,2135,1700,491,5920,500,500,13.8,88
Auburn University-Main Campus,No,7548,6791,3070,3933,600,1908,16.7,69
Augsburg College,Yes,662,513,257,4372,540,950,12.8,58
Augustana College IL,Yes,1879,1658,497,4173,540,821,12.7,71
Augustana College,Yes,761,725,306,3244,600,1021,10.4,69
Austin College,Yes,948,798,295,4342,400,1150,13,71
Averett College,Yes,627,556,172,4135,750,1350,22.4,48
Baker University,Yes,602,483,206,4100,400,2250,11,65
Baldwin-Wallace College,Yes,1690,1366,662,4410,1000,1000,17.6,85
Barat College,Yes,261,192,111,4300,500,500,9.7,71
Bard College,Yes,1910,838,285,6206,750,750,10.4,79
Barnard College,Yes,2496,1402,531,8124,600,850,10.3,91
Barry University,Yes,990,784,279,5360,600,1800,12.6,72
Baylor University,Yes,6075,5349,2367,3920,600,1346,18.5,72
Beaver College,Yes,1163,850,348,5400,400,800,12.2,73
Bellarmine College,Yes,807,707,308,2950,750,1290,13.1,84
Belmont Abbey College,Yes,632,494,129,4850,300,2480,13.2,52
Belmont University,Yes,1220,974,481,3664,650,900,11.1,49
Beloit College,Yes,1320,923,284,3616,355,715,11.1,69
Bemidji State University,No,1208,877,546,2700,660,1800,19.6,46
Benedictine College,Yes,632,620,222,3850,350,250,14.1,58
Bennington College,Yes,519,327,114,4100,600,500,10.1,55
Bentley College,Yes,3466,2330,640,5510,630,850,17.5,82
Berry College,Yes,1858,1221,480,3940,350,2375,16.3,63
Bethany College,Yes,878,816,200,3363,550,1700,11.6,48
Bethel College KS,Yes,202,184,122,3580,500,1400,8.8,56
Bethel College,Yes,502,384,104,2900,600,800,11.7,35
Bethune Cookman College,Yes,1646,1150,542,3396,650,2500,13.8,58
Birmingham-Southern College,Yes,805,588,287,4325,400,900,14,72
Blackburn College,Yes,500,336,156,2700,500,1000,14.3,51
Bloomsburg Univ. of Pennsylvania,No,6773,3028,1025,2948,500,1680,18,75
Bluefield College,Yes,377,358,181,4350,450,1500,17.8,53
Bluffton College,Yes,692,514,209,3990,400,900,13.3,58
Boston University,Yes,20192,13007,3810,6810,475,1025,11.9,72
Bowdoin College,Yes,3356,1019,418,5885,1495,875,11.2,96
Bowling Green State University,No,9251,7333,3076,3352,600,1700,21.1,67
Bradford College,Yes,443,330,151,6270,500,900,10.2,46
Bradley University,Yes,3767,3414,1061,4440,2000,1522,14.4,85
Brandeis University,Yes,4186,2743,740,6750,410,1000,9.8,84
Brenau University,Yes,367,274,158,5879,500,700,13.7,49
Brewton-Parker College,Yes,1436,1228,1202,2370,500,2000,12.6,18
Briar Cliff College,Yes,392,351,155,3597,600,1500,13.1,58
Bridgewater College,Yes,838,673,292,4725,560,875,13.2,82
Brigham Young University at Provo,Yes,7365,5402,4615,3580,860,1220,20.5,33
Brown University,Yes,12586,3239,1462,5926,720,1100,7.6,97
Bryn Mawr College,Yes,1465,810,313,6750,500,1200,12.3,89
Bucknell University,Yes,6548,3813,862,4750,800,1200,14.2,93
Buena Vista College,Yes,860,688,285,3797,450,950,8.8,78
Butler University,Yes,2362,2037,700,4650,500,1600,10.9,83
Cabrini College,Yes,599,494,224,6250,300,300,16.5,71
Caldwell College,Yes,1011,604,213,4600,425,1000,13.9,55
California Lutheran University,Yes,563,247,247,5300,612,576,12.4,60
California Polytechnic-San Luis,No,7811,3817,1650,4877,612,2091,19.8,59
California State University at Fresno,No,4540,3294,1483,4368,600,1926,21.2,61
Calvin College,Yes,1784,1512,913,3710,400,1210,14.8,81
Campbell University,Yes,2087,1339,657,2790,600,500,21.8,63
Campbellsville College,Yes,848,587,298,3070,600,1300,17.7,49
Canisius College,Yes,2853,2193,753,5340,400,1130,14.6,64
Capital University,Yes,1747,1382,449,4000,500,800,12.1,83
Capitol College,Yes,100,90,35,2812,300,2134,12.1,52
Carleton College,Yes,2694,1579,489,3957,550,550,10.4,91
Carnegie Mellon University,Yes,8728,5201,1191,5690,450,1250,9.2,74
Carroll College,Yes,1160,991,352,3880,480,930,17.8,79
Carson-Newman College,Yes,1096,951,464,3150,400,500,13.6,67
Carthage College,Yes,1616,1427,434,3775,500,1300,15.9,62
Case Western Reserve University,Yes,3877,3156,713,4730,525,1460,2.9,67
Castleton State College,No,1257,940,363,4690,400,700,14.7,79
Catawba College,Yes,1083,880,291,4100,600,1860,13.5,55
Catholic University of America,Yes,1754,1465,505,6408,526,1100,9.3,75
Cazenovia College,Yes,3847,3433,527,4840,600,500,14.3,118
Cedar Crest College,Yes,776,607,198,5285,500,1000,11.7,74
Cedarville College,Yes,1307,1090,616,4410,570,1000,15.3,64
Centenary College,Yes,369,312,90,5400,500,760,9.5,24
Centenary College of Louisiana,Yes,495,434,210,3490,600,1900,11.3,66
Center for Creative Studies,Yes,601,396,203,6643,2340,620,6.8,47
Central College,Yes,1283,1113,401,3660,650,600,13.5,67
Central Connecticut State University,No,4158,2532,902,4444,500,985,16.7,49
Central Missouri State University,No,4681,4101,1436,3288,300,2250,19.7,50
Central Washington University,No,2785,2011,1007,3603,654,1416,18.1,51
Central Wesleyan College,Yes,174,146,88,3080,600,600,15.2,58
Centre College,Yes,1013,888,288,4270,600,900,11.4,74
Chapman University,Yes,959,771,351,5895,600,1100,12.8,47
Chatham College,Yes,212,197,91,5230,400,850,9.3,52
Chestnut Hill College,Yes,342,254,126,5015,700,850,8.3,73
Christendom College,Yes,81,72,51,3600,400,800,9.3,58
Christian Brothers University,Yes,880,520,224,3260,600,900,11.1,63
Christopher Newport University,No,883,766,428,4750,525,1889,21.2,48
Claflin College,Yes,1196,697,499,2460,500,1000,16.9,21
Claremont McKenna College,Yes,1860,767,227,6010,500,850,9.6,87
Clark University,Yes,2887,2059,457,4200,500,950,10.5,79
Clarke College,Yes,460,340,167,3676,350,900,11,74
Clarkson University,Yes,2174,1953,557,5580,700,1300,15.8,77
Clemson University,No,8065,5257,2301,3610,800,1618,18,73
Clinch Valley Coll. of  the Univ. of Virginia,No,689,561,250,3689,600,1900,18.1,46
Coe College,Yes,1006,742,275,4390,500,2200,12.7,67
Coker College,Yes,604,452,295,4502,400,1000,12.1,75
Colby College,Yes,2848,1319,456,5590,500,1000,10.2,91
Colgate University,Yes,4856,2492,727,5565,500,750,10.5,93
College Misericordia,Yes,1432,888,317,5760,550,900,12.9,96
College of Charleston,No,4772,3140,1265,3460,666,2316,17.2,51
College of Mount St. Joseph,Yes,798,620,238,4430,400,1150,11.1,100
College of Mount St. Vincent,Yes,946,648,177,5770,500,1000,11.9,83
College of Notre Dame,Yes,344,264,97,5520,630,2250,10.4,43
College of Notre Dame of Maryland,Yes,457,356,177,5620,600,700,11.5,75
College of Saint Benedict,Yes,938,864,511,4221,500,600,13.1,72
College of Saint Catherine,Yes,511,411,186,4440,450,1000,11.5,77
College of Saint Elizabeth,Yes,444,359,122,5250,380,1000,11.4,78
College of Saint Rose,Yes,983,664,249,5666,800,1500,14.3,64
College of Santa Fe,Yes,546,447,189,4138,600,1200,14,80
College of St. Joseph,Yes,141,118,55,4850,450,1300,9.5,76
College of St. Scholastica,Yes,672,596,278,3696,450,1146,11.6,72
College of the Holy Cross,Yes,2994,1691,659,6300,400,900,11.3,95
College of William and Mary,No,7117,3106,1217,4298,600,800,12.1,93
College of Wooster,Yes,2100,1883,553,4690,500,500,11.1,69
Colorado College,Yes,3207,1577,490,4190,450,1200,11.3,84
Colorado State University,No,9478,6312,2194,4180,470,1800,19.2,59
Columbia College MO,Yes,314,158,132,3700,400,900,15.3,37
Columbia College,Yes,737,614,242,3975,500,1500,14.7,76
Columbia University,Yes,6756,1930,871,6664,550,300,5.9,99
Concordia College at St. Paul,Yes,281,266,139,3750,450,950,12.8,45
Concordia Lutheran College,Yes,232,216,106,3800,450,1825,12.1,42
Concordia University CA,Yes,688,497,144,4440,570,1515,13.1,55
Concordia University,Yes,528,403,186,4191,400,1000,12.1,75
Connecticut College,Yes,3035,1546,438,6300,600,500,10.7,91
Converse College,Yes,440,407,149,3700,500,900,10.2,75
Cornell College,Yes,1538,1329,383,4323,550,800,12.2,64
Creighton University,Yes,2967,2836,876,4372,650,2055,6.5,85
Culver-Stockton College,Yes,1576,1110,274,3700,400,500,14.1,51
Cumberland College,Yes,995,789,398,3526,400,600,13,63
D'Youville College,Yes,866,619,157,4310,680,1320,14.6,46
Dana College,Yes,504,482,185,3322,450,1450,12.6,54
Daniel Webster College,Yes,585,508,153,4934,500,500,22.2,72
Dartmouth College,Yes,8587,2273,1087,6070,550,1100,4.7,98
Davidson College,Yes,2373,956,452,5070,600,1011,12,94
Defiance College,Yes,571,461,174,3670,400,1159,12.8,56
Delta State University,No,967,945,459,1880,500,1200,17.1,58
Denison University,Yes,2762,2279,533,4720,500,600,11.6,81
DePauw University,Yes,1994,1656,495,5020,550,950,11.1,82
Dickinson College,Yes,3014,2539,487,5000,595,1250,11.2,87
Dickinson State University,No,434,412,319,2146,600,2000,16.5,46
Dillard University,Yes,1998,1376,651,3650,500,2307,14.1,61
Doane College,Yes,793,709,244,3000,400,1000,15.1,60
Dominican College of Blauvelt,Yes,360,329,108,5500,600,1800,12.7,54
Dordt College,Yes,604,562,328,2650,450,2800,12.5,87
Dowling College,Yes,1011,829,410,3100,450,1413,12.4,42
Drake University,Yes,2799,2573,839,4770,560,1675,15,77
Drew University,Yes,2153,1580,321,5616,520,660,10.2,83
Drury College,Yes,700,650,314,3523,500,750,13.2,67
Duke University,Yes,13789,3893,1583,5950,625,1162,5,97
Earlham College,Yes,1358,1006,274,4056,600,600,10.6,78
East Carolina University,No,9274,6362,2435,3240,500,1700,13.2,58
East Tennessee State University,No,3330,2730,1303,3000,600,2200,14,42
East Texas Baptist University,Yes,379,341,265,2780,530,1500,15.7,38
Eastern College,Yes,458,369,165,4800,450,1230,13.6,54
Eastern Connecticut State University,No,2172,1493,564,4316,650,500,16.9,50
Eastern Illinois University,No,5597,4253,1565,3066,120,1730,16.2,76
Eastern Mennonite College,Yes,486,440,227,3800,600,1300,11.4,82
Eastern Nazarene College,Yes,516,409,200,3500,450,700,17.3,70
Eckerd College,Yes,1422,1109,366,4080,600,1000,12.8,59
Elizabethtown College,Yes,2417,1843,426,4400,500,750,12.8,81
Elmira College,Yes,1457,1045,345,4980,450,550,21.5,64
Elms College,Yes,245,208,125,4765,450,1700,11.3,86
Elon College,Yes,3624,2786,858,3883,490,1777,18.9,63
Embry Riddle Aeronautical University,Yes,3151,2584,958,3750,570,3020,16.5,44
Emory & Henry College,Yes,765,646,226,4408,700,1600,13.9,82
Emory University,Yes,8506,4168,1236,6000,600,870,5,96
Emporia State University,No,1256,1256,853,3144,450,1888,19.3,50
Erskine College,Yes,659,557,167,3840,475,1246,13.5,67
Eureka College,Yes,560,454,113,3450,330,670,10.6,53
Evergreen State College,No,1801,1101,438,4600,600,1323,18.1,68
Fairfield University,Yes,4784,3346,781,6200,700,1100,15.1,94
Fayetteville State University,No,1455,1064,452,2550,350,766,15.1,24
Ferrum College,Yes,1339,1107,336,4200,500,1600,12.5,22
Flagler College,Yes,1415,714,338,3200,500,2140,18.1,69
Florida Institute of Technology,Yes,1947,1580,523,4140,750,1500,10.6,57
Florida International University,No,3306,2079,1071,2494,800,3028,13.9,66
Florida Southern College,Yes,1381,1040,374,4865,400,650,17.4,68
Florida State University,No,11651,8683,3023,4060,600,1020,23.1,58
Fontbonne College,Yes,291,245,126,4100,350,1500,21.5,62
Fordham University,Yes,4200,2874,942,6965,600,1735,14.4,80
Fort Lewis College,No,3440,2823,1123,3320,500,2500,19.1,46
Francis Marion University,No,1801,1655,819,3138,400,2430,19.1,43
Franciscan University of Steubenville,Yes,553,452,228,4400,600,1000,14.9,83
Franklin College,Yes,804,632,281,4040,525,1345,12.5,60
Franklin Pierce College,Yes,5187,4471,446,4630,500,800,17.6,51
Freed-Hardeman University,Yes,895,548,314,3340,600,1600,16.1,62
Fresno Pacific College,Yes,346,274,146,3670,630,1818,10.5,54
Furman University,Yes,2161,1951,685,4048,600,1250,13.5,82
Gannon University,Yes,2464,1908,678,4280,500,1380,13.3,65
Gardner Webb University,Yes,1110,930,332,4270,500,500,15.2,29
Geneva College,Yes,668,534,237,4820,500,1100,20.1,74
George Fox College,Yes,809,726,294,4130,400,1050,13.5,52
George Mason University,No,5653,4326,1727,4840,580,1050,19.3,46
George Washington University,Yes,7875,5062,1492,6328,700,950,7.6,72
Georgetown College,Yes,727,693,286,3950,550,550,13.3,55
Georgetown University,Yes,11115,2881,1390,7131,670,1700,7.2,95
Georgia Institute of Technology,No,7837,4527,2276,4438,795,1164,19.3,70
Georgia State University,No,3793,2341,1238,2655,720,3450,19,34
Georgian Court College,Yes,348,281,127,3950,500,800,12.2,76
Gettysburg College,Yes,3596,2466,575,4328,500,500,12.1,83
Goldey Beacom College,Yes,633,468,284,2985,531,1830,27.6,36
Gonzaga University,Yes,1886,1524,526,4450,600,2400,14.7,69
Gordon College,Yes,674,565,282,4070,400,1200,14.2,66
Goshen College,Yes,440,396,221,3730,600,1230,9.9,72
Goucher College,Yes,1151,813,248,6174,500,1200,9.2,77
Grace College and Seminary,Yes,548,428,167,3670,300,1000,15.3,64
Graceland College,Yes,555,414,242,3100,550,880,23.6,47
Grand Valley State University,No,5165,3887,1561,3800,500,1000,20.6,57
Green Mountain College,Yes,780,628,198,2700,400,850,14,76
Greensboro College,Yes,608,494,176,3770,550,1300,13,39
Greenville College,Yes,510,387,194,4530,400,800,14.3,60
Grinnell College,Yes,2039,1389,432,4618,400,400,9.5,83
Grove City College,Yes,2491,1110,573,3048,525,350,18.4,100
Guilford College,Yes,1202,1054,326,5160,450,1050,15.6,65
Gustavus Adolphus College,Yes,1709,1385,634,3600,400,700,12.5,80
Gwynedd Mercy College,Yes,380,237,104,5550,500,500,7.8,96
Hamilton College,Yes,3140,1783,454,5050,300,800,9.6,91
Hamline University,Yes,1006,825,328,4194,450,550,13,65
Hampden - Sydney College,Yes,817,644,307,4773,660,600,13.3,69
Hampton University,Yes,7178,3755,1433,3518,600,2000,14,70
Hanover College,Yes,1006,837,317,3485,500,1200,10.6,64
Hardin-Simmons University,Yes,467,424,350,2980,700,2140,13.7,38
Harding University,Yes,1721,1068,806,3528,700,910,17.7,73
Hartwick College,Yes,2083,1725,430,4780,500,700,12.3,73
Harvard University,Yes,13865,2165,1606,6410,500,1920,9.9,100
Harvey Mudd College,Yes,1377,572,178,6690,700,900,8.2,100
Hastings College,Yes,817,708,262,3272,500,1902,13,52
Hendrix College,Yes,823,721,274,3195,500,1200,13.1,63
Hillsdale College,Yes,920,745,347,4700,400,750,12,79
Hiram College,Yes,922,729,244,4560,400,1000,10.6,79
Hobart and William Smith Colleges,Yes,2688,2081,500,5841,600,600,12.1,79
Hofstra University,Yes,7428,5860,1349,5920,1000,1000,13.9,60
Hollins College,Yes,602,498,215,5515,500,850,11.1,72
Hood College,Yes,699,565,176,6040,450,690,14.4,72
Hope College,Yes,1712,1483,624,4341,465,1100,12.5,72
Houghton College,Yes,949,786,302,3550,500,1500,15,67
Huntingdon College,Yes,608,520,127,3920,500,1100,11.4,44
Huntington College,Yes,450,430,125,3920,300,1300,11.8,47
Huron University,Yes,600,197,124,3090,600,1840,12.9,21
Husson College,Yes,723,652,361,4000,350,1500,22,84
Illinois Benedictine College,Yes,607,558,269,4348,650,1500,11.6,75
Illinois College,Yes,894,787,262,3850,600,1000,15.6,52
Illinois Institute of Technology,Yes,1756,1360,478,4620,500,700,12.3,56
Illinois State University,No,8681,6695,2408,3403,537,2605,21,54
Illinois Wesleyan University,Yes,3050,1342,471,4090,400,650,12.9,83
Immaculata College,Yes,268,253,103,5364,500,1000,11.2,69
Incarnate Word College,Yes,1163,927,386,4689,750,2775,11.4,95
Indiana State University,No,5659,4761,3147,3706,600,2500,16.6,40
Indiana University at Bloomington,No,16587,13243,5873,3990,600,2000,21.3,68
Indiana Wesleyan University,Yes,735,423,366,3782,700,1000,39.8,34
Iona College,Yes,4892,3530,913,6790,570,1150,16,66
Iowa State University,No,8427,7424,3441,3224,640,2055,19.2,65
Ithaca College,Yes,7259,5526,1368,6192,634,1000,11.5,75
James Madison University,No,11223,5285,2082,4544,500,732,17.9,98
Jamestown College,Yes,472,410,262,3050,400,400,17,54
Jersey City State College,No,2957,1423,691,4800,400,1500,14.9,26
John Brown University,Yes,605,405,284,3672,400,1350,13.3,75
John Carroll University,Yes,2421,2109,820,5550,600,450,14.5,89
Johns Hopkins University,Yes,8474,3446,911,6740,500,1040,3.3,90
Johnson State College,No,833,669,279,4690,500,624,14.4,36
Judson College,Yes,313,228,137,4554,500,1700,10.6,56
Juniata College,Yes,1005,859,298,4460,450,420,12.7,80
Kansas State University,No,5880,4075,2833,3120,600,2000,18.5,54
Kansas Wesleyan University,Yes,589,575,148,3250,500,1400,12.4,68
Keene State College,No,3121,2446,822,4157,500,1150,16.1,61
Kentucky Wesleyan College,Yes,584,497,175,4150,500,1300,11.3,62
Kenyon College,Yes,2212,1538,408,3690,750,480,11.1,88
Keuka College,Yes,461,381,174,4550,600,750,13.3,51
King's College,Yes,1456,1053,381,5160,400,1795,15.6,87
King College,Yes,355,300,142,3350,600,3000,10.7,65
Knox College,Yes,1040,845,286,4062,400,800,12.7,79
La Roche College,Yes,361,321,185,4782,600,1100,14.2,52
La Salle University,Yes,2929,1834,622,5610,450,3160,15.1,84
Lafayette College,Yes,4010,2402,572,5740,600,1000,10.5,92
LaGrange College,Yes,544,399,177,3585,750,1500,12.5,75
Lake Forest College,Yes,979,638,271,3970,920,1320,10.7,77
Lakeland College,Yes,497,452,231,4005,500,1000,17.2,57
Lamar University,No,2336,1725,1043,3040,508,1463,18.4,26
Lambuth University,Yes,831,538,224,3430,600,1590,16.1,60
Lander University,No,1166,1009,510,2987,528,1702,17,51
Lawrence University,Yes,1243,947,324,3891,525,975,10.1,77
Le Moyne College,Yes,1470,1199,425,4840,400,900,13.3,94
Lebanon Valley College,Yes,1386,1060,320,4755,400,1125,12.3,85
Lehigh University,Yes,6397,4304,1092,5580,750,1130,12.5,91
Lenoir-Rhyne College,Yes,979,743,259,4000,400,1000,12,66
Lesley College,Yes,244,198,82,5300,550,805,27.8,58
LeTourneau University,Yes,477,417,204,4240,600,1400,20.8,56
Lewis and Clark College,Yes,2774,2092,482,4790,450,950,12.3,69
Lewis University,Yes,1154,1050,395,4520,500,1200,14.3,61
Lincoln Memorial University,Yes,787,562,363,2890,600,1300,14.6,53
Lincoln University,No,1660,1091,326,3400,350,1400,12.6,45
Lindenwood College,Yes,810,484,356,4800,1000,4200,24.1,100
Linfield College,Yes,1561,1188,458,4210,500,900,17.8,81
Livingstone College,Yes,900,473,217,3400,800,900,10.4,92
Lock Haven University of Pennsylvania,No,3570,2215,651,3620,225,500,16.1,63
Longwood College,No,2747,1870,724,3962,550,2200,18.4,62
Loras College,Yes,1641,1283,527,4000,500,1200,14.2,70
Louisiana College,Yes,2013,1053,212,3036,500,1655,10.5,59
Louisiana State University at Baton Rouge,No,5996,4993,3079,2980,600,2242,15.9,37
Louisiana Tech University,No,2397,2144,1525,2325,618,1656,20,45
Loyola College,Yes,4076,3137,738,6300,600,900,14.7,80
Loyola Marymount University,Yes,3768,2662,753,5916,545,1328,14.2,84
Loyola University,Yes,1891,1698,719,5870,600,750,11.7,53
Loyola University Chicago,Yes,3579,2959,868,5330,700,2000,6.2,65
Luther College,Yes,1549,1392,587,3560,600,400,13.8,77
Lycoming College,Yes,1286,1005,363,4300,500,900,14,72
Lynchburg College,Yes,1756,1500,366,5400,450,870,12.4,70
Lyndon State College,No,535,502,223,4640,500,600,12.6,51
Macalester College,Yes,2939,1496,452,4772,500,700,11.9,77
MacMurray College,Yes,740,558,177,3750,550,950,10.8,59
Malone College,Yes,874,758,428,3700,450,1200,17.6,55
Manchester College,Yes,1004,802,239,3850,525,1450,11.8,64
Manhattan College,Yes,2432,1730,563,6800,500,1800,13.6,79
Manhattanville College,Yes,962,750,212,6550,450,400,11.3,70
Mankato State University,No,3073,2672,1547,2643,450,1660,19,68
Marian College of Fond du Lac,Yes,824,670,337,3400,500,1100,8.4,59
Marietta College,Yes,1611,960,342,3920,470,810,13.2,96
Marist College,Yes,4731,3171,830,5925,550,1200,17.6,69
Marquette University,Yes,5152,4600,1685,4760,600,1950,13.5,77
Marshall University,Yes,4226,3666,2007,4010,700,1560,16.6,50
Mary Baldwin College,Yes,499,441,199,7400,600,1300,6.8,90
Mary Washington College,No,4350,2178,756,4942,650,2102,17.6,84
Marymount College Tarrytown,Yes,478,327,117,6450,575,1075,10.3,77
Marymount Manhattan College,Yes,695,535,239,7000,350,1100,11.7,68
Marymount University,Yes,941,772,214,5280,500,750,10.6,55
Maryville College,Yes,1464,888,176,4208,500,1642,11.1,51
Maryville University,Yes,549,397,169,4550,425,1350,13.1,61
Marywood College,Yes,1107,859,323,4500,600,700,11.8,66
Massachusetts Institute of Technology,Yes,6411,2140,1078,5975,725,1600,10.1,94
Mayville State University,No,233,233,153,2516,600,1900,15.7,51
McKendree College,Yes,1002,555,119,3740,500,800,17.7,52
McMurry University,Yes,578,411,187,3452,400,1525,11,32
McPherson College,Yes,420,293,93,3750,600,2740,9.8,48
Mercer University,Yes,2286,1668,564,4081,400,1500,9.2,91
Mercyhurst College,Yes,1557,1074,397,4050,425,1000,16.7,78
Meredith College,Yes,857,772,376,3250,450,1520,13.9,82
Merrimack College,Yes,1981,1541,514,6200,375,1000,16.8,80
Mesa State College,No,1584,1456,891,3798,540,2256,28.8,59
Messiah College,Yes,1742,1382,607,5080,475,1200,14.1,89
Miami University at Oxford,No,9239,7788,3290,3960,500,1382,17.6,85
Michigan State University,No,18114,15096,6180,3734,504,600,14,71
Michigan Technological University,No,2618,2288,1032,3978,900,1200,17,65
MidAmerica Nazarene College,Yes,331,331,225,3720,1100,4913,15.4,49
Millersville University of Penn.,No,6011,3075,960,3830,450,1258,16.8,71
Milligan College,Yes,610,461,189,3300,550,1000,12,64
Millikin University,Yes,1444,1261,456,4378,450,965,11.4,75
Millsaps College,Yes,905,834,319,4402,550,1350,12.7,58
Milwaukee School of Engineering,Yes,1217,1088,496,3255,1000,2075,16.7,67
Mississippi College,Yes,594,385,307,2830,600,700,16.5,61
Mississippi State University,No,4255,3277,1609,3084,480,1479,15.9,53
Mississippi University for Women,No,480,405,380,2217,600,1500,15.8,63
Missouri Southern State College,No,1576,1326,913,2852,200,400,20.3,100
Missouri Valley College,Yes,1310,983,316,5050,400,900,17.4,27
Monmouth College IL,Yes,601,503,204,4100,400,460,11.6,56
Monmouth College,Yes,2707,1881,478,5290,530,1740,14.2,54
Montana College of Mineral Sci. & Tech.,No,572,544,320,3400,550,1400,16.4,74
Montana State University,No,3500,2836,1779,3710,550,2300,17.6,37
Montclair State University,No,5220,2128,865,4834,700,950,21.5,58
Montreat-Anderson College,Yes,263,223,103,3372,500,2958,11.1,15
Moorhead State University,No,2442,2164,1189,2664,600,1000,18.1,60
Moravian College,Yes,1232,955,303,4730,550,1250,15.2,74
Morehouse College,Yes,3708,1678,722,5490,250,600,17.8,83
Morningside College,Yes,586,533,239,3678,500,1000,13,56
Morris College,Yes,882,730,330,2550,850,2100,18.6,60
Mount Holyoke College,Yes,1800,1314,526,5700,750,750,9,84
Mount Marty College,Yes,279,276,126,2980,500,500,11.7,44
Mount Mary College,Yes,235,217,121,3119,550,1125,10.7,78
Mount Mercy College,Yes,368,317,159,3555,500,2285,11.3,64
Mount Saint Clare College,Yes,325,284,95,3650,500,1200,13.6,21
Mount Saint Mary's College,Yes,1321,1159,328,6200,550,900,12.8,80
Mount Saint Mary College,Yes,1170,695,238,4600,250,1400,15.3,88
Mount St. Mary's College,Yes,657,537,113,5678,630,1278,11.9,72
Mount Union College,Yes,1310,1086,458,3530,400,1150,16.7,81
Mount Vernon Nazarene College,Yes,510,485,334,3346,600,600,19.8,58
