,Private,Apps,Accept,Enroll,Room.Board,Books,Personal,S.F.Ratio,Grad.Rate
Muhlenberg College,Yes,2519,1836,462,4565,600,850,12.8,83
Murray State University,No,2225,1910,1190,3110,700,940,20.2,52
Muskingum College,Yes,1109,922,375,3914,600,800,13.4,73
National-Louis University,Yes,513,347,279,4500,650,500,18.3,71
Nazareth College of Rochester,Yes,947,798,266,5150,550,800,13.6,61
New Jersey Institute of Technology,No,1879,1216,483,5376,700,1850,13.5,72
New Mexico Institute of Mining and Tech.,No,787,601,233,3214,600,1100,13.7,34
New York University,Yes,13594,7244,2505,7262,450,1000,7.8,71
Newberry College,Yes,872,722,154,2600,500,1500,11.4,83
Niagara University,Yes,2220,1796,467,4762,450,650,14.2,65
North Adams State College,No,1563,1005,240,4330,500,1000,14.2,57
North Carolina A. & T. State University,No,4809,3089,1429,1780,600,1651,16.7,44
North Carolina State University at Raleigh,No,10634,7064,3176,6540,600,1300,17.5,62
North Carolina Wesleyan College,Yes,812,689,195,4230,600,1295,12.7,52
North Central College,Yes,1127,884,308,7398,450,1800,16.4,76
North Dakota State University,No,2968,2297,1610,2744,600,2000,17,42
North Park College,Yes,465,361,176,4345,400,970,13.1,74
Northeast Missouri State University,No,6040,4577,1620,3416,400,1100,15.7,76
Northeastern University,Yes,11901,8492,2517,7425,600,1750,12.9,46
Northern Arizona University,No,5891,4931,1973,3728,620,2342,21.7,41
Northern Illinois University,No,10706,7219,2397,3296,470,1750,17.3,56
Northwest Missouri State University,No,2729,2535,1257,3136,250,1630,21.7,54
Northwest Nazarene College,Yes,616,514,385,2820,450,822,14.8,58
Northwestern College,Yes,860,811,366,3075,300,1800,14.9,68
Northwestern University,Yes,12289,5200,1902,5520,759,1585,6.8,92
Norwich University,Yes,1743,1625,626,5270,500,800,13.1,63
Notre Dame College,Yes,379,324,107,4900,400,600,12.1,33
Oakland University,No,3041,2581,1173,4030,400,650,19.7,53
Oberlin College,Yes,4778,2767,678,5820,575,1119,10.1,83
Occidental College,Yes,2324,1319,370,5140,558,1152,10.5,79
Oglethorpe University,Yes,792,649,186,4340,600,4110,13.1,67
Ohio Northern University,Yes,2936,2342,669,4080,600,825,14.5,83
Ohio University,No,11023,8298,3183,4095,550,2300,20.4,64
Ohio Wesleyan University,Yes,2190,1700,458,5650,550,550,12.1,75
Oklahoma Baptist University,Yes,758,681,484,3140,515,1290,15.1,50
Oklahoma Christian University,Yes,776,765,351,3150,500,1900,16.2,45
Oklahoma State University,No,4522,3913,2181,3344,800,3100,15.3,48
Otterbein College,Yes,1496,1205,428,4440,420,840,13.9,87
Ouachita Baptist University,Yes,910,773,450,2800,500,1500,13.3,65
Our Lady of the Lake University,Yes,2308,1336,295,3644,616,1576,14.9,37
Pace University,Yes,8256,3750,1522,5160,660,1115,13.8,62
Pacific Lutheran University,Yes,1603,1392,504,4488,600,1516,11,83
Pacific Union College,Yes,940,668,385,3825,630,1926,12.3,69
Pacific University,Yes,943,849,288,3994,450,1100,10.9,42
Pembroke State University,No,944,774,440,2760,550,1498,15,48
Pennsylvania State Univ. Main Campus,No,19315,10344,3450,4060,512,2394,18.1,63
Pepperdine University,Yes,3821,2037,680,6770,500,700,11.6,66
Peru State College,No,701,501,458,2624,500,900,20.1,44
Pfeiffer College,Yes,838,651,159,3700,400,1915,12.2,48
Philadelphia Coll. of Textiles and Sci.,Yes,1538,1259,468,5062,600,1664,12.9,68
Phillips University,Yes,692,576,174,3860,600,940,11.6,39
Piedmont College,Yes,663,562,127,3620,600,750,13.2,31
Pikeville College,Yes,404,400,169,3000,500,500,13.4,61
Pitzer College,Yes,1133,630,220,5900,650,850,10.4,73
Point Loma Nazarene College,Yes,809,687,428,4190,800,750,16.1,54
Point Park College,Yes,875,744,207,4830,400,1200,14.5,66
Polytechnic University,Yes,1132,847,302,4200,436,2486,10.4,62
Prairie View A. and M. University,No,2405,2234,1061,3500,598,1582,19.4,35
Presbyterian College,Yes,1082,832,302,3635,554,1429,13.4,85
Princeton University,Yes,13218,2042,1153,5910,675,1575,8.4,99
Providence College,Yes,5139,3346,973,6200,450,1100,18.4,96
Purdue University at West Lafayette,No,21804,18744,5874,3990,570,1060,18.2,67
Queens College,Yes,516,392,154,4970,610,1900,14,58
Quincy University,Yes,1025,707,297,4140,450,1080,16.3,80
Quinnipiac College,Yes,3712,2153,806,6140,1000,500,12,86
Radford University,No,5702,4894,1742,4110,500,900,19.6,62
Ramapo College of New Jersey,No,2088,957,362,4860,600,1655,17.8,47
Randolph-Macon College,Yes,1771,1325,306,3735,400,900,10.7,74
Randolph-Macon Woman's College,Yes,696,616,169,6110,370,920,9.2,68
Reed College,Yes,1966,1436,327,5490,500,450,11.8,68
Regis College,Yes,427,385,143,5800,450,700,10.3,84
Rensselaer Polytechnic Institute,Yes,4996,4165,936,5976,1230,1100,15.4,70
Rhodes College,Yes,2302,1831,391,4768,550,1500,10.8,77
Rider University,Yes,3586,2424,730,5420,700,3100,12.3,70
Ripon College,Yes,587,501,211,4100,350,650,9.4,64
Rivier College,Yes,484,386,141,4860,600,1100,12.2,81
Roanoke College,Yes,2227,1790,437,4425,450,1200,13,72
Rockhurst College,Yes,935,858,345,4100,500,1500,10.7,79
Rocky Mountain College,Yes,560,392,270,3362,600,625,11.3,68
Roger Williams University,Yes,3304,2804,679,6050,500,730,16.4,61
Rollins College,Yes,1777,1151,382,5220,955,750,13.3,90
Rosary College,Yes,434,321,141,4600,550,950,12.9,81
Rowan College of New Jersey,No,3820,1431,695,4830,800,800,22.1,51
Rutgers at New Brunswick,No,48094,26330,4520,4748,690,2009,19.5,77
Rutgers State University at Camden,No,3366,1752,232,4748,690,2009,18.6,57
Rutgers State University at Newark,No,5785,2690,499,4748,690,2009,17.4,58
Sacred Heart University,Yes,2307,1896,509,5780,400,600,14.8,82
Saint Ambrose University,Yes,897,718,276,4020,500,1500,14.1,70
Saint Anselm College,Yes,2095,1553,514,5400,450,1120,14.5,97
Saint Cloud State University,No,3971,3306,1921,2625,350,1884,18.9,58
Saint Francis College IN,Yes,213,166,85,3820,450,1000,12.5,48
Saint Francis College,Yes,1046,824,284,5050,400,1235,19.3,69
Saint John's University,Yes,933,800,444,4081,500,600,12,70
Saint Joseph's College IN,Yes,920,684,225,4250,600,950,14.8,67
Saint Joseph's College,Yes,833,682,217,5180,500,800,27.2,85
Saint Joseph's University,Yes,2519,2003,776,6350,350,1690,17.4,83
Saint Joseph College,Yes,292,241,96,4600,650,950,11.2,76
Saint Louis University,Yes,3294,2855,956,4730,800,6800,4.6,67
Saint Mary's College,Yes,888,734,393,4514,500,1525,9.9,98
Saint Mary's College of Minnesota,Yes,876,802,367,3600,400,820,18.8,78
Saint Mary-of-the-Woods College,Yes,150,130,88,4130,500,1700,10.2,75
Saint Michael's College,Yes,1910,1380,463,5860,500,750,14.5,84
Saint Olaf College,Yes,2248,1673,745,3750,550,550,10,83
Saint Peter's College,Yes,1606,1413,530,5520,500,450,12.1,53
Saint Vincent College,Yes,700,595,278,3936,500,900,12.3,88
Saint Xavier University,Yes,785,647,295,4624,600,794,13.7,55
Salem-Teikyo University,Yes,489,384,120,3952,400,620,13,98
Salem College,Yes,335,284,132,6300,500,2000,11.2,60
Salisbury State University,No,4216,2290,736,4690,600,1450,17.9,56
Samford University,Yes,1680,1395,691,3700,569,1650,14.7,61
San Diego State University,No,9402,7020,2151,5110,612,2400,19.5,41
Santa Clara University,Yes,4019,2779,888,5928,630,1278,13.9,100
Sarah Lawrence College,Yes,1380,768,263,6694,600,700,6.1,83
Savannah Coll. of Art and Design,Yes,1109,688,386,5000,1200,1600,16.1,55
Schreiner College,Yes,584,413,131,5900,500,1488,11.8,52
Scripps College,Yes,855,632,139,7350,600,800,8.2,73
Seattle Pacific University,Yes,1183,1016,411,4875,600,1250,16.8,66
Seattle University,Yes,2115,1540,494,4375,500,1500,12.2,89
Seton Hall University,Yes,4576,3565,1000,6484,650,1000,14.4,64
Seton Hill College,Yes,936,794,197,4180,350,2000,11.2,71
Shippensburg University of Penn.,No,5818,3281,1116,3504,450,1700,18.8,72
Shorter College,Yes,540,445,165,3600,500,2000,13.2,58
Siena College,Yes,2961,1932,628,5100,575,1090,14.1,100
Siena Heights College,Yes,464,419,183,3880,475,1090,7.2,47
Simmons College,Yes,1003,782,295,6950,500,1200,8.9,79
Simpson College,Yes,1016,872,300,4980,550,1400,15.8,70
Sioux Falls College,Yes,437,400,211,3064,500,1700,14.8,48
Skidmore College,Yes,4293,2728,591,5970,500,700,12.7,81
Smith College,Yes,2925,1598,632,6390,500,1050,10.3,90
South Dakota State University,No,2807,2589,1701,2190,500,1970,15,67
Southeast Missouri State University,No,2281,1870,1408,3540,200,2150,17.1,45
Southeastern Oklahoma State Univ.,No,818,700,447,2619,450,1022,19.6,53
Southern California College,Yes,385,340,193,4124,630,1818,18.6,43
Southern Illinois University at Edwardsville,No,2540,2195,994,3598,221,2216,16.5,43
Southern Methodist University,Yes,4301,3455,1166,5078,576,1802,13.5,72
Southwest Baptist University,Yes,1093,1093,642,2500,400,1000,15.9,71
Southwest Missouri State University,No,6118,5254,3204,2590,500,1360,19.9,56
Southwest State University,No,1047,938,511,2750,600,1800,16.5,51
Southwestern Adventist College,Yes,321,318,172,3736,430,1651,13,36
Southwestern College,Yes,213,155,75,3532,550,1500,11.8,52
Southwestern University,Yes,1244,912,352,4675,600,1050,11.3,67
Spalding University,Yes,283,201,97,2800,600,900,10.6,89
Spelman College,Yes,3713,1237,443,5565,660,2400,12.5,65
Spring Arbor College,Yes,372,362,181,3550,385,665,15.4,49
St. Bonaventure University,Yes,1489,1313,375,4927,500,1050,17.7,78
St. John's College,Yes,323,278,122,5450,275,800,7.2,64
St. John Fisher College,Yes,1368,1064,354,5600,400,800,14.5,66
St. Lawrence University,Yes,2753,1820,505,5730,650,825,11.5,85
St. Martin's College,Yes,191,165,63,4270,300,500,14.5,40
St. Mary's College of California,Yes,2643,1611,465,6354,630,1584,16.1,78
St. Mary's College of Maryland,No,1340,695,285,4730,675,1250,11.6,63
St. Mary's University of San Antonio,Yes,1243,1020,414,3858,700,1736,16.2,72
St. Norbert College,Yes,1334,1243,568,4450,425,1100,15.1,88
St. Paul's College,Yes,651,581,243,3650,600,600,14,45
St. Thomas Aquinas College,Yes,861,609,215,5700,500,1750,16.1,67
Stephens College,Yes,450,405,194,5200,450,2150,10.9,59
Stetson University,Yes,1557,1227,489,4565,600,1365,12.5,73
Stevens Institute of Technology,Yes,1768,1249,380,5680,450,750,19,79
Stockton College of New Jersey,No,4019,1579,710,4351,711,1125,19.5,64
Stonehill College,Yes,3646,2300,585,6172,480,800,13,97
SUNY at Albany,No,13528,9198,1843,4355,700,1560,17.4,74
SUNY at Binghamton,No,14463,6166,1757,4598,700,1000,18,80
SUNY at Buffalo,No,15039,9649,3087,4731,708,957,13.6,56
SUNY at Stony Brook,No,12512,6969,1724,4712,600,1200,10.5,57
SUNY College  at Brockport,No,7294,3564,904,4460,500,705,19,49
SUNY College  at Oswego,No,8000,4556,1464,4810,500,1500,22,63
SUNY College at Buffalo,No,5318,3515,1025,4040,550,1230,18.7,42
SUNY College at Cortland,No,7888,3519,1036,4680,630,1274,17.8,53
SUNY College at Fredonia,No,4877,2798,814,4420,620,1481,16.3,66
SUNY College at Geneseo,No,8598,4562,1143,4170,600,650,19.1,76
SUNY College at New Paltz,No,8399,3609,656,4240,550,1500,15.3,53
SUNY College at Plattsburgh,No,5549,3583,853,4176,600,1380,17.9,65
SUNY College at Potsdam,No,3150,2289,650,4660,500,1000,15.1,59
SUNY College at Purchase,No,2119,1264,390,4760,1125,1362,14.9,46
Susquehanna University,Yes,2096,1512,465,4710,400,800,13.9,90
Sweet Briar College,Yes,462,402,146,6000,500,600,6.5,61
Syracuse University,Yes,10477,7260,2442,6870,635,960,11.3,67
Tabor College,Yes,257,183,109,3410,400,1500,10,53
Talladega College,Yes,4414,1500,335,2964,1000,1400,15.5,46
Taylor University,Yes,1769,1092,437,4000,450,1250,14.2,98
Tennessee Wesleyan College,Yes,232,182,99,3640,400,3158,8.9,36
Texas A&M Univ. at College Station,No,14474,10519,6392,3412,600,2144,23.1,69
Texas A&M University at Galveston,No,529,481,243,3122,600,650,17.4,43
Texas Christian University,Yes,4095,3079,1195,3320,650,2400,14.8,64
Texas Lutheran College,Yes,497,423,215,3410,490,1700,13.8,50
Texas Southern University,No,4345,3245,2604,3360,600,1700,18.2,10
Texas Wesleyan University,Yes,592,501,279,3484,600,1800,14.5,43
The Citadel,No,1500,1242,611,2439,400,779,17.1,84
Thiel College,Yes,1154,951,253,4958,700,1350,11.6,60
Tiffin University,Yes,845,734,254,3800,600,1200,19,39
Transylvania University,Yes,759,729,244,4450,500,1000,12.1,70
Trenton State College,No,5042,2312,944,5411,700,1000,14.4,81
Tri-State University,Yes,1262,1102,276,4350,468,1323,12.8,65
Trinity College CT,Yes,3058,1798,478,5690,500,680,10.4,91
Trinity College DC,Yes,247,189,100,6430,500,900,8.3,96
Trinity College VT,Yes,222,185,91,5208,550,500,10.4,78
Trinity University,Yes,2425,1818,601,5150,500,490,9.6,93
Tulane University,Yes,7033,5125,1223,5950,350,800,9.1,74
Tusculum College,Yes,626,372,145,3400,450,800,21.9,52
Tuskegee University,Yes,2267,1827,611,3395,600,1425,12.2,65
Union College KY,Yes,484,384,177,2950,500,600,14.1,64
Union College NY,Yes,3495,1712,528,6204,450,1024,11.5,88
Univ. of Wisconsin at OshKosh,No,4800,2900,1515,2394,518,1890,19.2,56
University of Alabama at Birmingham,No,1797,1260,938,5175,750,2200,6.7,33
University of Arkansas at Fayetteville,No,3235,3108,2133,3300,500,2000,14.8,39
University of California at Berkeley,No,19873,8252,3215,6246,636,1933,15.8,78
University of California at Irvine,No,15698,10775,2478,5302,790,1818,16.1,66
University of Central Florida,No,6986,2959,1918,4234,700,1600,22.2,46
University of Charleston,Yes,682,535,204,3540,400,750,2.5,57
University of Chicago,Yes,6348,2999,922,6380,500,1254,5.3,90
University of Cincinnati,No,6855,5553,2408,4697,556,1851,10.8,54
University of Connecticut at Storrs,No,9735,7187,2064,5072,700,2300,16,71
University of Dallas,Yes,681,588,246,6230,500,1200,13.4,63
University of Dayton,Yes,6361,5293,1507,4220,500,900,14.8,93
University of Delaware,Yes,14446,10516,3252,4230,530,1300,18.3,75
University of Denver,Yes,2974,2001,580,4695,400,1350,15.9,67
University of Detroit Mercy,Yes,927,731,415,3996,600,2166,13.5,51
University of Dubuque,Yes,576,558,137,3620,400,1500,16.5,45
University of Evansville,Yes,2096,1626,694,4340,700,960,15.8,77
University of Florida,No,12445,8836,3623,4180,630,1530,13.4,66
University of Georgia,No,11220,7871,3320,3600,525,1755,14.7,63
University of Hartford,Yes,5081,4040,1194,6000,500,1440,10.7,66
University of Hawaii at Manoa,No,3580,2603,1627,3038,687,1281,11.8,54
University of Illinois - Urbana,No,14939,11652,5705,4574,500,1982,17.4,81
University of Illinois at Chicago,No,8384,5727,2710,5088,630,3228,10,34
University of Indianapolis,Yes,1487,1276,388,4080,525,1405,11.1,69
University of Kansas,No,8579,5561,3681,3384,700,2681,13.7,57
University of La Verne,Yes,1597,969,226,5050,630,2298,14.1,47
University of Louisville,No,4777,3057,1823,3600,530,2440,11.1,31
University of Maine at Farmington,No,1208,803,438,3970,450,1647,15.9,59
University of Maine at Machias,No,441,369,172,3680,600,400,15.1,64
University of Maine at Presque Isle,No,461,381,235,3630,400,1675,15.2,35
University of Maryland at Baltimore County,No,4269,2594,985,4408,494,2768,18.4,55
University of Maryland at College Park,No,14292,10315,3409,5146,550,1550,18.1,63
University of Massachusetts at Amherst,No,14438,12414,3816,3897,500,1400,16.7,68
University of Massachusetts at Dartmouth,No,3347,2597,1006,4500,500,1250,15,56
University of Miami,Yes,7122,5386,1643,6526,630,1985,5.9,59
University of Michigan at Ann Arbor,No,19152,12940,4893,4659,476,1600,11.5,87
University of Minnesota at Duluth,No,4192,3126,1656,3474,753,2610,19,53
University of Minnesota at Morris,No,1458,874,588,3180,600,1500,14.6,51
University of Minnesota Twin Cities,No,11054,6397,3524,3744,714,2910,12.2,45
University of Mississippi,No,3844,3383,1669,3810,600,550,20.3,53
University of Missouri at Columbia,No,6574,4637,2940,3485,600,1983,12.7,58
University of Missouri at Rolla,No,1877,1826,823,3600,700,1435,14.4,49
University of Missouri at Saint Louis,No,1618,1141,479,3964,500,4288,13.4,48
University of Mobile,Yes,452,331,269,3680,550,1200,16.6,52
University of Montevallo,No,1351,892,570,3030,300,600,18.9,51
University of Nebraska at Lincoln,No,6277,6003,3526,3145,500,2070,15.1,53
University of New England,Yes,1209,750,265,5045,900,2500,11.4,64
University of New Hampshire,No,9750,7640,2529,3862,650,2450,17.5,75
University of North Carolina at Asheville,No,1757,979,394,3420,600,750,13,37
University of North Carolina at Chapel Hill,No,14596,5985,3331,4200,550,1200,8.9,83
University of North Carolina at Charlotte,No,5803,4441,1730,3109,600,1900,16.8,62
University of North Carolina at Greensboro,No,5191,4134,1500,3505,600,1300,15.5,53
University of North Carolina at Wilmington,No,6071,3856,1449,3680,500,1500,19.1,55
University of North Dakota,No,2777,2249,1652,2703,450,1200,15.9,49
University of North Florida,No,1800,1253,560,4360,600,2604,17.8,47
University of North Texas,No,4418,2737,2049,3579,450,1700,22.6,35
University of Northern Colorado,No,5530,4007,1697,4128,540,2286,21.5,40
University of Northern Iowa,No,4144,3379,1853,2930,595,2380,16.3,77
University of Notre Dame,Yes,7700,3700,1906,4400,600,1350,13.1,97
University of Oklahoma,No,4743,3970,2233,3526,765,3176,11.5,44
University of Oregon,No,8631,6732,2546,3660,570,1530,19.7,54
University of Pennsylvania,Yes,12394,5232,2464,7270,500,1544,6.3,93
University of Pittsburgh-Main Campus,No,8586,6383,2503,4560,400,900,7.8,66
University of Portland,Yes,1758,1485,419,4100,600,1100,13.2,72
University of Puget Sound,Yes,4044,2826,688,4500,630,1800,15,63
University of Rhode Island,No,9643,7751,1968,5558,500,1250,16.6,63
University of Richmond,Yes,5892,2718,756,3285,700,1125,11.7,100
University of Rochester,Yes,8766,5498,1243,6582,500,882,5.9,80
University of San Diego,Yes,3934,2735,886,5940,630,1820,15.6,66
University of San Francisco,Yes,2306,1721,538,6452,750,2450,13.6,62
University of Sci. and Arts of Oklahoma,No,285,280,208,1920,600,1800,23.6,43
University of Scranton,Yes,4471,2942,910,5986,650,800,14.1,92
University of South Carolina at Aiken,No,848,560,377,3066,500,1500,14.8,48
University of South Carolina at Columbia,No,7693,5815,2328,3522,495,2941,16.9,63
University of South Florida,No,7589,4676,1876,3776,500,2180,17,47
University of Southern California,Yes,12229,8498,2477,6482,600,2210,11.4,68
University of Southern Colorado,No,1401,1239,605,4380,540,2948,19.4,36
University of Southern Indiana,No,2379,2133,1292,3192,500,1425,22,38
University of Southern Mississippi,No,2850,2044,1046,2470,500,500,18.7,45
University of St. Thomas MN,Yes,2057,1807,828,4037,500,800,13.8,89
University of St. Thomas TX,Yes,374,280,185,4050,500,1344,12.6,62
University of Tennessee at Knoxville,No,7473,5372,3013,3262,750,3300,16.5,53
University of Texas at Arlington,No,3281,2559,1448,2780,500,2850,21,29
University of Texas at Austin,No,14752,9572,5329,3309,650,3140,19.7,65
University of Texas at San Antonio,No,4217,3100,1686,5376,452,1200,25.3,50
University of the Arts,Yes,974,704,290,3860,1300,700,7.5,57
University of the Pacific,Yes,2459,1997,582,5326,646,1171,11.2,65
University of the South,Yes,1445,966,326,4080,450,810,10.3,82
University of Tulsa,Yes,1712,1557,696,4160,1200,2350,11.5,47
University of Utah,No,5095,4491,2400,3975,858,3093,12.8,37
University of Vermont,No,7663,6008,1735,4928,500,990,9.9,79
University of Virginia,No,15849,5384,2678,3792,500,1000,9.5,95
University of Washington,No,12749,7025,3343,4218,708,2172,9,65
University of West Florida,No,1558,1254,472,3994,541,1387,23.4,53
University of Wisconsin-Stout,No,2593,1966,1030,2592,376,1750,21,65
University of Wisconsin-Superior,No,910,910,342,2780,550,1960,15.2,36
University of Wisconsin-Whitewater,No,4400,3719,1472,2500,300,1200,23.1,67
University of Wisconsin at Green Bay,No,2409,1939,759,2800,475,1200,22.2,46
University of Wisconsin at Madison,No,14901,10932,4631,4290,535,1545,11.5,72
University of Wisconsin at Milwaukee,No,5244,3782,1930,2964,570,1980,15.9,38
University of Wyoming,No,2029,1516,1073,3422,600,1500,15.1,45
Upper Iowa University,Yes,663,452,192,3060,500,1000,17.4,78
Ursinus College,Yes,1399,1026,308,5160,500,800,11.6,79
Ursuline College,Yes,325,260,86,4202,450,750,10.5,68
Valley City State University,No,368,344,212,2570,600,2000,14.9,40
Valparaiso University,Yes,2075,1727,520,3260,500,800,14.2,95
Vanderbilt University,Yes,7791,4690,1499,6525,630,952,5.8,83
Vassar College,Yes,3550,1877,653,5950,600,800,9.7,90
Villanova University,Yes,7759,5588,1477,6507,400,300,13.4,96
Virginia Commonwealth University,No,4963,3497,1567,4182,500,3630,8.7,45
Virginia State University,No,2996,2440,704,4845,500,600,16,31
Virginia Tech,No,15712,11719,4277,3176,740,2200,13.8,73
Virginia Union University,Yes,1847,1610,453,3494,500,1763,13.7,30
Virginia Wesleyan College,Yes,1470,900,287,5100,500,550,15.7,68
Viterbo College,Yes,647,518,271,3365,500,2245,10.7,73
Voorhees College,Yes,1465,1006,188,2522,500,1200,22.9,58
Wabash College,Yes,800,623,256,4195,500,635,9.9,72
Wagner College,Yes,1416,1015,417,5800,585,1700,13.2,75
Wake Forest University,Yes,5661,2392,903,4360,500,1250,4.3,89
Walsh University,Yes,1092,890,477,4180,500,1450,11.3,68
Warren Wilson College,Yes,440,311,112,3052,400,1100,11.4,63
Wartburg College,Yes,1231,1074,345,3610,400,850,12.4,67
Washington and Jefferson College,Yes,1305,1100,334,4005,300,500,12.1,86
Washington and Lee University,Yes,3315,1096,425,4619,680,1115,9.6,90
Washington College,Yes,1209,942,214,5318,500,300,11.2,65
Washington State University,No,6540,5839,2440,4210,800,2719,16.9,56
Washington University,Yes,7654,5259,1254,5775,768,1512,3.9,90
Wayne State College,No,1373,1373,724,2660,540,1660,20.3,52
Waynesburg College,Yes,1190,978,324,3620,500,1200,16.2,63
Webber College,Yes,280,143,79,2900,650,1952,15.1,90
Webster University,Yes,665,462,226,4340,500,500,20.6,48
Wellesley College,Yes,2895,1249,579,5995,500,700,10.6,91
Wells College,Yes,318,240,130,5550,600,500,8.3,69
Wentworth Institute of Technology,Yes,1480,1257,452,6050,850,920,15.4,64
Wesley College,Yes,980,807,350,4674,500,1350,14.4,84
Wesleyan University,Yes,4772,1973,712,5600,1400,1400,12.1,92
West Chester University of Penn.,No,6502,3539,1372,4108,400,2000,15.3,52
West Liberty State College,No,1164,1062,478,2890,600,1210,16.3,60
West Virginia Wesleyan College,Yes,1566,1400,483,3775,450,1100,16.4,67
Western Carolina University,No,3224,2519,1057,2380,110,1622,14.6,55
Western Maryland College,Yes,1205,984,278,5340,500,1400,12.5,60
Western Michigan University,No,9167,7191,2738,4100,500,1700,24.7,55
Western New England College,Yes,1650,1471,409,5500,498,2065,15.4,59
Western State College of Colorado,No,2702,1623,604,3755,500,2050,19.4,52
Western Washington University,No,5548,3563,1549,4144,639,2385,22.7,61
Westfield State College,No,3100,2150,825,3788,500,1300,15.7,65
Westminster College MO,Yes,662,553,184,4050,600,1650,12.5,62
Westminster College,Yes,996,866,377,3615,430,685,12.5,80
Westminster College of Salt Lake City,Yes,917,720,213,4050,600,2025,10.5,50
Westmont College,No,950,713,351,5304,490,1410,14.9,87
Wheaton College IL,Yes,1432,920,548,4200,530,1400,12.7,85
Westminster College PA,Yes,1738,1373,417,5970,700,850,13.2,71
Wheeling Jesuit College,Yes,903,755,213,4545,600,600,14.1,72
Whitman College,Yes,1861,998,359,4900,750,800,10.5,72
Whittier College,Yes,1681,1069,344,5699,500,1998,13.6,52
Whitworth College,Yes,1121,926,372,4500,678,2424,16.9,80
Widener University,Yes,2139,1492,502,5370,500,1350,12.6,63
Wilkes University,Yes,1631,1431,434,5130,550,1260,13.3,67
Willamette University,Yes,1658,1327,395,4620,400,790,13.3,68
William Jewell College,Yes,663,547,315,2970,500,2600,11.2,59
William Woods University,Yes,469,435,227,4365,550,3700,12.9,52
Williams College,Yes,4186,1245,526,5790,500,1200,9,99
Wilson College,Yes,167,130,46,5084,450,475,8.3,67
Wingate College,Yes,1239,1017,383,3400,550,1550,13.9,91
Winona State University,No,3325,2047,1301,2700,300,1200,20.2,58
Winthrop University,No,2320,1805,769,3392,580,2150,12.8,59
Wisconsin Lutheran College,Yes,152,128,75,3700,500,1400,8.5,50
Wittenberg University,Yes,1979,1739,575,4404,400,800,12.8,78
Wofford College,Yes,1501,935,273,4150,605,1440,15.3,75
Worcester Polytechnic Institute,Yes,2768,2314,682,5370,530,730,15.2,82
Worcester State College,No,2197,1515,543,3900,500,1200,21,40
Xavier University,Yes,1959,1805,695,4960,600,1250,13.3,83
Xavier University of Louisiana,Yes,2097,1915,695,4200,617,781,14.4,49
Yale University,Yes,10705,2453,1317,6510,630,2115,5.8,99
York College of Pennsylvania,Yes,2989,1855,691,3560,500,1250,18.1,99
